,city_state_country
490,"Moosup, CT, USA"
491,"shelton, CT, USA"
492,"Riverside, CT, USA"
493,"Greens Farms, CT, USA"
494,"Groton, CT, USA"
495,"Northford, CT, USA"
496,"east windsor, CT, USA"
497,"East Canaan, CT, USA"
498,"BERLIN, CT, USA"
499,"Stony Creek, CT, USA"
500,"SOUTH WINDSOR, CT, USA"
501,"Vernon Rockville, CT, USA"
502,"Weatogue, CT, USA"
503,"putnam, CT, USA"
504,"MAnchester, CT, USA"
505,"SUFFIELD, CT, USA"
506,"EAST HADDAM, CT, USA"
507,"madison, CT, USA"
508,"harwinton, CT, USA"
509,"East Windsor Hill, CT, USA"
510,"OLD SAYBROOK, CT, USA"
511,"thompson, CT, USA"
512,"enfield, CT, USA"
513,"WOLCOTT, CT, USA"
514,"wolcott, CT, USA"
515,"dayville, CT, USA"
516,"North Windham, CT, USA"
517,"deep river, CT, USA"
518,"SHELTON, CT, USA"
519,"MOODUS, CT, USA"
520,"newington, CT, USA"
521,"woodstock, CT, USA"
522,"Mansfield Ctr, CT, USA"
523,"waterford, CT, USA"
524,"DURHAM, CT, USA"
525,"waterbury, CT, USA"
526,"cheshire, CT, USA"
527,"old saybrook, CT, USA"
528,"west haven, CT, USA"
529,"NEWTOWN, CT, USA"
530,"suffield, CT, USA"
531,"hampton, CT, USA"
532,"new milford, CT, USA"
533,"canterbury, CT, USA"
534,"North Canaan, CT, USA"
535,"South Killingly, CT, USA"
536,"prospect, CT, USA"
537,"AVON, CT, USA"
538,"portland, CT, USA"
539,"MIDDLEFIELD, CT, USA"
540,"Stafford, CT, USA"
541,"KILLINGLY, CT, USA"
542,"WEST HARTFORD, CT, USA"
543,"BROOKFIELD, CT, USA"
544,"avon, CT, USA"
545,"chester, CT, USA"
546,"New Preston-Marble Dale, CT, USA"
547,"Tariffville, CT, USA"
548,"WINDSOR LOCKS, CT, USA"
549,"Killingly, CT, USA"
550,"DANBURY, CT, USA"
551,"canton, CT, USA"
552,"East Berlin, CT, USA"
553,"litchfield, CT, USA"
554,"lebanon, CT, USA"
555,"coventry, CT, USA"
556,"South Windham, CT, USA"
557,"W Hartford, CT, USA"
558,"Somersville, CT, USA"
559,"sharon, CT, USA"
560,"Pleasant Valley, CT, USA"
561,"monroe, CT, USA"
562,"oakdale, CT, USA"
563,"higganum, CT, USA"
564,"Storrs/Mansfield, CT, USA"
565,"TOLLAND, CT, USA"
566,"New fairfield, CT, USA"
567,"bristol, CT, USA"
568,"sherman, CT, USA"
569,"chaplin, CT, USA"
570,"clinton, CT, USA"
571,"eastford, CT, USA"
572,"stamford, CT, USA"
573,"west hartford, CT, USA"
574,"E Haven, CT, USA"
575,"HAMPTON, CT, USA"
576,"ashford, CT, USA"
577,"ROXBURY, CT, USA"
578,"Staffordville, CT, USA"
579,"stafford, CT, USA"
580,"Stafford Spgs, CT, USA"
581,"stafford springs, CT, USA"
582,"hamden, CT, USA"
583,"willimantic, CT, USA"
584,"manchester, CT, USA"
585,"ASHFORD, CT, USA"
586,"East Killingly, CT, USA"
587,"Winchester, CT, USA"
588,"Haddam Neck, CT, USA"
589,"west Haven, CT, USA"
590,"Centerbrook, CT, USA"
591,"Quinebaug, CT, USA"
592,"West Hartland, CT, USA"
593,"ledyard, CT, USA"
594,"sandy hook, CT, USA"
595,"new fairfield, CT, USA"
596,"niantic, CT, USA"
597,"east woodstock, CT, USA"
598,"simsbury, CT, USA"
599,"Middle Haddam, CT, USA"
600,"Marion, CT, USA"
601,"ESSEX, CT, USA"
602,"Winchester Center, CT, USA"
603,"Wauregan, CT, USA"
604,"farmington, CT, USA"
605,"unionville, CT, USA"
