geopy location,coordinates
"Tayor Hall, Tormey Drive, Flagstaff Normal Addition, Flagstaff, Coconino County, Arizona, 86001, United States","(35.192280800000006, -111.65509620464115)"
"Picacho, Pinal County, Arizona, 85231, United States","(32.716176, -111.4953971)"
"Cibola, La Paz County, Arizona, United States","(33.3758167, -114.6659991)"
"White Mountain, Gila County, Arizona, United States","(34.2703111, -111.402916)"
nan
"Bullhead City, Mohave County, Arizona, 89029, United States","(35.1477774, -114.5682983)"
"Yuma Mesa, Yuma, Yuma County, Arizona, 85365-1213, United States","(32.6659514, -114.5593505)"
"Black Canyon Court, Canada Hills - Village, Oro Valley, Pima County, Arizona, 85737, United States","(32.4056826, -111.0058886)"
"41883 E. Torbalita Trail, Marana, AZ, Pinal County, Arizona, United States","(32.54108225, -111.12036381614175)"
nan
"Arizona City, Pinal County, Arizona, United States","(32.748400000000004, -111.67590514853674)"
"Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
"Morristown, Maricopa County, Arizona, United States","(33.8562535, -112.61451849802984)"
nan
"Carefree, Maricopa County, Arizona, United States","(33.8222611, -111.918203)"
"Arivaca, Pima County, Arizona, 85601, United States","(31.5769832, -111.3306751)"
"Maricopa County, Arizona, United States","(33.34883, -112.49123)"
nan
"San Carlos, San Carlos / Sengaah, Gila County, Arizona, United States","(33.350750000000005, -110.46703014380023)"
"SU, West Catalina Drive, Encanto, Phoenix, Maricopa County, Arizona, 85013-4224, United States","(33.48261035, -112.08800989868541)"
"Quartzite Mountain, Graham County, Arizona, United States","(33.0514501, -110.3598155)"
nan
"Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
"Pirtleville, Cochise County, Arizona, United States","(31.3612235, -109.56666055276185)"
nan
"Whipple, Prescott, Yavapai County, Arizona, 86313, United States","(34.5566909, -112.4496132)"
nan
"Northern Arizona VA Health Care System: Flagstaff CBOC, 1300, West University Avenue, Flagstaff, Coconino County, Arizona, 86001, United States","(35.1846438, -111.6722488)"
"Keams Canyon, Keams Canyon / Pongsikya, Navajo County, Arizona, United States","(35.816717, -110.16223715908382)"
nan
"Madison, New Haven County, Connecticut, 06443, United States","(41.2794282, -72.5983151)"
"Old Lyme, New London County, Connecticut, United States","(41.3159315, -72.3289715)"
"Barkhamsted, Litchfield County, Connecticut, United States","(41.9292629, -72.9139904)"
"Milford, New Haven County, Connecticut, United States","(41.2222218, -73.0570603)"
"Westbrook, Middlesex County, Connecticut, 06498, United States","(41.285377, -72.4475874)"
"Washington Depot, Washington, Litchfield County, Connecticut, 06792, United States","(41.6404914, -73.3190148)"
"Middlefield, Middlesex County, Connecticut, United States","(41.5165161, -72.7120793)"
"Wolcott, New Haven County, Connecticut, United States","(41.6023196, -72.9867718)"
"Middletown, Middlesex County, Connecticut, United States","(41.5623178, -72.6509061)"
"Sherman, Fairfield County, Connecticut, United States","(41.5792607, -73.4956795)"
